State/Area,Year,Month,UnemploymentRate
Alabama,2000,01,4.7
Alabama,2000,02,4.7
Alabama,2000,03,4.7
Alabama,2000,04,4.7
Alabama,2000,05,4.6
Alabama,2000,06,4.6
Alabama,2000,07,4.6
Alabama,2000,08,4.6
Alabama,2000,09,4.6
Alabama,2000,10,4.6
Alabama,2000,11,4.6
Alabama,2000,12,4.7
Alabama,2001,01,4.7
Alabama,2001,02,4.8
Alabama,2001,03,4.8
Alabama,2001,04,4.8
Alabama,2001,05,4.9
Alabama,2001,06,5
Alabama,2001,07,5.1
Alabama,2001,08,5.2
Alabama,2001,09,5.4
Alabama,2001,10,5.6
Alabama,2001,11,5.7
Alabama,2001,12,5.8
Alabama,2002,01,5.8
Alabama,2002,02,5.9
Alabama,2002,03,5.9
Alabama,2002,04,5.9
Alabama,2002,05,5.9
Alabama,2002,06,5.9
Alabama,2002,07,5.9
Alabama,2002,08,5.9
Alabama,2002,09,5.9
Alabama,2002,10,5.9
Alabama,2002,11,5.9
Alabama,2002,12,5.9
Alabama,2003,01,5.9
Alabama,2003,02,5.9
Alabama,2003,03,5.9
Alabama,2003,04,5.9
Alabama,2003,05,6
Alabama,2003,06,6
Alabama,2003,07,6
Alabama,2003,08,6
Alabama,2003,09,6
Alabama,2003,10,6
Alabama,2003,11,5.9
Alabama,2003,12,5.9
Alabama,2004,01,5.9
Alabama,2004,02,5.9
Alabama,2004,03,5.8
Alabama,2004,04,5.8
Alabama,2004,05,5.7
Alabama,2004,06,5.7
Alabama,2004,07,5.6
Alabama,2004,08,5.5
Alabama,2004,09,5.4
Alabama,2004,10,5.3
Alabama,2004,11,5.2
Alabama,2004,12,5.1
Alabama,2005,01,5
Alabama,2005,02,4.9
Alabama,2005,03,4.8
Alabama,2005,04,4.6
Alabama,2005,05,4.5
Alabama,2005,06,4.4
Alabama,2005,07,4.3
Alabama,2005,08,4.2
Alabama,2005,09,4.2
Alabama,2005,10,4.2
Alabama,2005,11,4.2
Alabama,2005,12,4.2
Alabama,2006,01,4.2
Alabama,2006,02,4.1
Alabama,2006,03,4.1
Alabama,2006,04,4.1
Alabama,2006,05,4.1
Alabama,2006,06,4.1
Alabama,2006,07,4
Alabama,2006,08,4
Alabama,2006,09,3.9
Alabama,2006,10,3.9
Alabama,2006,11,3.8
Alabama,2006,12,3.8
Alabama,2007,01,3.8
Alabama,2007,02,3.9
Alabama,2007,03,3.9
Alabama,2007,04,3.9
Alabama,2007,05,4
Alabama,2007,06,4
Alabama,2007,07,4
Alabama,2007,08,4.1
Alabama,2007,09,4.2
Alabama,2007,10,4.2
Alabama,2007,11,4.3
Alabama,2007,12,4.5
Alabama,2008,01,4.6
Alabama,2008,02,4.7
Alabama,2008,03,4.9
Alabama,2008,04,5.2
Alabama,2008,05,5.4
Alabama,2008,06,5.7
Alabama,2008,07,6
Alabama,2008,08,6.3
Alabama,2008,09,6.5
Alabama,2008,10,6.9
Alabama,2008,11,7.2
Alabama,2008,12,7.6
Alabama,2009,01,8
Alabama,2009,02,8.4
Alabama,2009,03,8.8
Alabama,2009,04,9.1
Alabama,2009,05,9.4
Alabama,2009,06,9.7
Alabama,2009,07,10
Alabama,2009,08,10.3
Alabama,2009,09,10.5
Alabama,2009,10,10.7
Alabama,2009,11,10.9
Alabama,2009,12,11
Alabama,2010,01,11
Alabama,2010,02,11
Alabama,2010,03,10.9
Alabama,2010,04,10.5
Alabama,2010,05,10.3
Alabama,2010,06,10.2
Alabama,2010,07,10.1
Alabama,2010,08,10.1
Alabama,2010,09,10.1
Alabama,2010,10,10.1
Alabama,2010,11,10.1
Alabama,2010,12,10.1
Alabama,2011,01,10.1
Alabama,2011,02,10
Alabama,2011,03,9.9
Alabama,2011,04,9.9
Alabama,2011,05,9.8
Alabama,2011,06,9.8
Alabama,2011,07,9.7
Alabama,2011,08,9.5
Alabama,2011,09,9.3
Alabama,2011,10,9.1
Alabama,2011,11,8.9
Alabama,2011,12,8.7
Alabama,2012,01,8.6
Alabama,2012,02,8.5
Alabama,2012,03,8.4
Alabama,2012,04,8.4
Alabama,2012,05,8.4
Alabama,2012,06,8.3
Alabama,2012,07,8.2
Alabama,2012,08,8.1
Alabama,2012,09,7.9
Alabama,2012,10,7.8
Alabama,2012,11,7.8
Alabama,2012,12,7.7
Alabama,2013,01,7.7
Alabama,2013,02,7.6
Alabama,2013,03,7.5
Alabama,2013,04,7.4
Alabama,2013,05,7.3
Alabama,2013,06,7.3
Alabama,2013,07,7.3
Alabama,2013,08,7.3
Alabama,2013,09,7.3
Alabama,2013,10,7.2
Alabama,2013,11,7.2
Alabama,2013,12,7.2
