FIPS Code, State/Area, Year, Month, Total Civilian Non-Institutional Population in State/Area, Total Civilian Labor Force in State/Area, Percent (%) of State/Area's Population, Total Employment in State/Area, Percent (%) of Labor Force Employed in State/Area, Total Unemployment in State/Area, Percent (%) of Labor Force Unemployed in State/Area
01, Alabama,2000,1,3370052,2155396,64,2054501,61,100895,4.7
02, Alaska,2000,1,434957,319633,73.5,299870,68.9,19763,6.2
04, Arizona,2000,1,3813839,2497340,65.5,2395317,62.8,102023,4.1
05, Arkansas,2000,1,2017825,1266292,62.8,1211679,60,54613,4.3
06, California,2000,1,24941075,16664807,66.8,15837398,63.5,827409,5
037, Los Angeles County,2000,1,7011188,4630672,66,4369467,62.3,261205,5.6
08, Colorado,2000,1,3232278,2350618,72.7,2285246,70.7,65372,2.8
09, Connecticut,2000,1,2590032,1760389,68,1721240,66.5,39149,2.2
10, Delaware,2000,1,594204,406118,68.3,392385,66,13733,3.4
11, District of Columbia,2000,1,458238,308732,67.4,290982,63.5,17750,5.7
12, Florida,2000,1,12407981,7822185,63,7531066,60.7,291119,3.7
13, Georgia,2000,1,6041316,4172874,69.1,4023896,66.6,148978,3.6
15, Hawaii,2000,1,902870,606243,67.1,578581,64.1,27662,4.6
16, Idaho,2000,1,943015,656618,69.6,626419,66.4,30199,4.6
17, Illinois,2000,1,9333119,6526981,69.9,6244525,66.9,282456,4.3
18, Indiana,2000,1,4587654,3135118,68.3,3038427,66.2,96691,3.1
19, Iowa,2000,1,2229700,1593903,71.5,1554073,69.7,39830,2.5
20, Kansas,2000,1,1997430,1409187,70.6,1358376,68,50811,3.6
21, Kentucky,2000,1,3077024,1955366,63.5,1875237,60.9,80129,4.1
22, Louisiana,2000,1,3287577,2031853,61.8,1932931,58.8,98922,4.9
23, Maine,2000,1,990197,681190,68.8,655933,66.2,25257,3.7
24, Maryland,2000,1,3975785,2783617,70,2691746,67.7,91871,3.3
25, Massachusetts,2000,1,4914798,3354162,68.2,3250508,66.1,103654,3.1
26, Michigan,2000,1,7493672,5153554,68.8,4983267,66.5,170287,3.3
27, Minnesota,2000,1,3708892,2776344,74.9,2696809,72.7,79535,2.9
28, Mississippi,2000,1,2093329,1307058,62.4,1236272,59.1,70786,5.4
29, Missouri,2000,1,4223368,2961435,70.1,2872340,68,89095,3
30, Montana,2000,1,683919,470003,68.7,446727,65.3,23276,5
